[2017-09-15 09:15:22] Shadowsocks started
[2017-09-15 09:16:37] Shadowsocks started
[2017-09-15 09:16:49] Detected: PAC file 'pac.txt' was created.
[2017-09-15 09:16:50] Detected: PAC file 'pac.txt' was changed.
[2017-09-15 09:17:24] Shadowsocks started
[2017-09-15 09:25:39] Shadowsocks started
[2017-09-15 09:26:01] Shadowsocks started
[2017-09-15 09:29:45] Shadowsocks started
[2017-09-15 09:30:04] Shadowsocks started
[2017-09-15 09:30:08] Shadowsocks started
[2017-09-15 09:34:14] Shadowsocks started
[2017-09-15 09:34:19] Shadowsocks started
[2017-09-15 09:34:23] Shadowsocks started
[2017-09-15 12:48:04] Shadowsocks started
[2017-09-21 19:03:05] 47.89.252.213:8388 timed out
[2017-09-21 19:04:04] 47.89.252.213:8388 timed out
[2017-09-21 19:04:09] 47.89.252.213:8388 timed out
[2017-09-21 19:04:53] 47.89.252.213:8388 timed out
[2017-09-21 19:05:08] 47.89.252.213:8388 timed out
[2017-09-21 19:06:26] 47.89.252.213:8388 timed out
[2017-09-21 19:08:31] 47.89.252.213:8388 timed out
[2017-09-21 19:08:46] 47.89.252.213:8388 timed out
[2017-09-21 19:08:49] 47.89.252.213:8388 timed out
[2017-09-21 19:09:31] 47.89.252.213:8388 timed out
[2017-09-21 19:09:48] 47.89.252.213:8388 timed out
[2017-09-21 19:10:11] 47.89.252.213:8388 timed out
[2017-09-21 19:10:12] 47.89.252.213:8388 timed out
[2017-09-21 19:10:16] 47.89.252.213:8388 timed out
[2017-09-21 19:10:24] 47.89.252.213:8388 timed out
[2017-09-21 19:10:26] 47.89.252.213:8388 timed out
[2017-09-21 19:10:39] 47.89.252.213:8388 timed out
[2017-09-21 19:11:11] 47.89.252.213:8388 timed out
[2017-09-21 19:11:14] 47.89.252.213:8388 timed out
[2017-09-21 19:11:18] 47.89.252.213:8388 timed out
[2017-09-21 19:11:23] 47.89.252.213:8388 timed out
[2017-09-21 19:11:24] 47.89.252.213:8388 timed out
[2017-09-21 19:11:29] 47.89.252.213:8388 timed out
[2017-09-21 19:11:33] 47.89.252.213:8388 timed out
[2017-09-21 19:11:38] 47.89.252.213:8388 timed out
[2017-09-21 19:11:59] 47.89.252.213:8388 timed out
[2017-09-21 19:12:59] 47.89.252.213:8388 timed out
[2017-09-21 19:13:04] 47.89.252.213:8388 timed out
[2017-09-21 19:13:19] 47.89.252.213:8388 timed out
[2017-09-21 19:13:59] 47.89.252.213:8388 timed out
[2017-09-21 19:14:14] 47.89.252.213:8388 timed out
[2017-09-21 20:33:09] 47.89.252.213:8388 timed out
[2017-09-21 20:33:47] 47.89.252.213:8388 timed out
[2017-09-21 20:34:25] 47.89.252.213:8388 timed out
[2017-09-21 20:35:00] 47.89.252.213:8388 timed out
[2017-09-21 20:35:11] 47.89.252.213:8388 timed out
[2017-09-21 20:39:59] 47.89.252.213:8388 timed out
[2017-09-21 20:45:40] 47.89.252.213:8388 timed out
[2017-09-21 20:48:10] 47.89.252.213:8388 timed out
[2017-09-21 20:53:18] 47.89.252.213:8388 timed out
[2017-09-21 20:59:51] 47.89.252.213:8388 timed out
[2017-09-21 21:01:41] 47.89.252.213:8388 timed out
[2017-09-21 21:02:14] 47.89.252.213:8388 timed out
[2017-09-21 21:02:29] 47.89.252.213:8388 timed out
[2017-09-21 21:13:23] 47.89.252.213:8388 timed out
[2017-09-21 23:01:00] 47.89.252.213:8388 timed out
[2017-09-21 23:02:26] 47.89.252.213:8388 timed out
[2017-09-21 23:39:21] 47.89.252.213:8388 timed out
[2017-09-21 23:46:33] 47.89.252.213:8388 timed out
[2017-09-22 00:16:48] 47.89.252.213:8388 timed out
